Date, Week ,Cases|O,Cases|T
1/7/07, 1   ,627.95,1446.87
1/14/07, 2   ,1324.33,1678.00
1/21/07, 3   ,1361.93,1554.74
1/28/07, 4   ,833.22,1471.88
2/4/07, 5   ,1303.00,1880.32
2/11/07, 6   ,1078.37,1662.21
2/18/07, 7   ,1165.89,1626.22
2/25/07, 8   ,1113.51,1559.01
3/4/07, 9   ,757.78,1708.19
3/11/07, 10   ,887.94,1469.02
3/18/07, 11   ,1428.15,1499.52
3/25/07, 12   ,909.87,1753.94
4/1/07, 13   ,1461.48,1879.49
4/8/07, 14   ,969.49,1512.95
4/15/07, 15   ,1416.18,2185.60
4/22/07, 16   ,1132.90,1457.61
4/29/07, 17   ,867.45,1404.45
5/6/07, 18   ,831.39,1283.28
5/13/07, 19   ,733.38,1282.45
5/20/07, 20   ,1166.63,1175.54
5/27/07, 21   ,929.45,1522.89
6/3/07, 22   ,1051.15,1078.15
6/10/07, 23   ,865.50,1212.97
6/17/07, 24   ,1012.04,1763.42
6/24/07, 25   ,1286.31,1618.05
7/1/07, 26   ,1046.01,1310.54
7/8/07, 27   ,879.40,1622.19
7/15/07, 28   ,1081.04,1221.11
7/22/07, 29   ,847.01,1716.51
7/29/07, 30   ,784.00,1355.17
8/5/07, 31   ,564.47,1329.69
8/12/07, 32   ,652.71,2024.35
8/19/07, 33   ,2426.12,1771.77
8/26/07, 34   ,1711.00,1748.52
9/2/07, 35   ,1229.86,2290.71
9/9/07, 36   ,1163.18,2382.97
9/16/07, 37   ,2378.05,1573.36
9/23/07, 38   ,759.48,1968.12
9/30/07, 39   ,1639.51,1745.75
10/7/07, 40   ,1246.33,2256.89
10/14/07, 41   ,2116.11,2250.33
10/21/07, 42   ,2975.53,2696.20
10/28/07, 43   ,2046.63,2578.88
11/4/07, 44   ,2130.43,1852.87
11/11/07, 45   ,1870.99,2182.48
11/18/07, 46   ,1472.76,2488.95
11/25/07, 47   ,1784.90,2485.71
12/2/07, 48   ,1173.46,1999.76
12/9/07, 49   ,1460.92,1571.84
12/16/07, 50   ,1681.13,1970.81
12/23/07, 51   ,2004.01,1905.73
12/30/07, 52   ,1059.60,1584.82
1/6/08, 53   ,1266.88,1517.51
1/13/08, 54   ,1597.85,2579.66
1/20/08, 55   ,1545.36,1876.68
1/27/08, 56   ,1508.16,1968.74
2/3/08, 57   ,1537.45,2165.98
2/10/08, 58   ,1582.19,2436.52
2/17/08, 59   ,1612.95,1912.31
2/24/08, 60   ,1617.88,2129.95
3/2/08, 61   ,1612.01,1801.86
3/9/08, 62   ,1638.93,1799.46
3/16/08, 63   ,1460.16,2075.63
3/23/08, 64   ,1308.48,1303.83
3/30/08, 65   ,1676.63,1766.77
4/6/08, 66   ,1689.27,1780.28
