Date;Week;Cases|O;Cases|T
39089;1;855,0351616;1893,558579
39096;2;1803,233753;2196,043558
39103;3;1854,429887;2034,732739
39110;4;1134,530808;1926,280398
39117;5;1774,194768;2460,821552
39124;6;1468,329738;2175,368808
39131;7;1587,49596;2128,279981
39138;8;1516,173031;2040,31388
39145;9;1031,808021;2235,550254
39152;10;1209,035596;1922,541202
39159;11;1944,603178;1962,463527
39166;12;1238,89987;2295,426376
39173;13;1989,980079;2459,728736
39180;14;1320,074724;1980,03643
39187;15;1928,303257;2860,352712
39194;16;1542,581647;1907,604367
39201;17;1181,133238;1838,036903
39208;18;1132,033745;1679,455823
39215;19;998,5852758;1678,367918
39222;20;1588,511137;1538,454644
39229;21;1265,561731;1993,042804
39236;22;1431,271695;1410,997254
39243;23;1178,47824;1587,448027
39250;24;1378,008264;2307,83033
39257;25;1751,458113;2117,576482
39264;26;1424,260902;1715,135176
39271;27;1197,414756;2123,000542
39278;28;1471,960452;1598,103216
39285;29;1153,310946;2246,432932
39292;30;1067,507917;1773,539007
39299;31;768,5883537;1740,193038
39306;32;888,7457654;2649,321849
39313;33;3303,456884;2318,760213
39320;34;2329,724956;2288,329239
39327;35;1674,601974;2997,909031
39334;36;1583,802438;3118,655449
39341;37;3237,9948;2059,100217
39348;38;1034,128793;2575,725641
39355;39;2232,3931;2284,701148
39362;40;1697,028757;2953,651043
39369;41;2881,332913;2945,056017
39376;42;4051,537294;3528,587302
39383;43;2786,730811;3375,049149
39390;44;2900,837948;2424,902864
39397;45;2547,580402;2856,261173
39404;46;2005,340311;3257,349027
39411;47;2430,357006;3253,11299
39418;48;1597,811664;2617,132167
39425;49;1989,22245;2057,104752
39432;50;2289,054281;2579,249012
39439;51;2728,694225;2494,069798
39446;52;1442,77841;2074,090149
39453;53;1725,008114;1986,002815
39460;54;2175,668746;3376,067016
39467;55;2104,186463;2456,057922
39474;56;2053,546488;2576,540021
39481;57;2093,416594;2834,667691
39488;58;2154,346728;3188,737371
39495;59;2196,218485;2502,693061
39502;60;2202,936481;2787,517665
39509;61;2194,945256;2358,139476
39516;62;2231,596697;2354,991897
39523;63;1988,182782;2716,422357
39530;64;1781,656019;1706,354219
39537;65;2282,933233;2312,213381
39544;66;2300,142629;2329,892969
39551;67;2039,704032;2517,139132
