O;T
1867,78;3084,78
3939,07;3577,56
4050,90;3314,77
2478,32;3138,09
3875,63;4008,91
3207,49;3543,88
3467,80;3467,17
3312,00;3323,86
2253,93;3641,92
2641,07;3132,00
4247,88;3197,04
2706,31;3739,46
4347,00;4007,13
2883,63;3225,66
4212,27;4659,78
3369,69;3107,67
2580,12;2994,33
2472,87;2735,99
2181,36;2734,22
3470,02;2506,29
2764,55;3246,85
3126,54;2298,65
2574,32;2586,10
3010,18;3759,67
3825,97;3449,73
3111,22;2794,12
2615,69;3458,57
3215,42;2603,46
2519,35;3659,65
2331,91;2889,26
1678,94;2834,94
1941,42;4315,99
7216,22;3777,48
5089,16;3727,90
3658,08;4883,87
3459,73;5080,58
7073,23;3354,47
2259,00;4196,10
4876,54;3721,99
3707,07;4811,77
6294,12;4797,77
8850,37;5748,40
6087,46;5498,27
6336,72;3950,39
5565,05;4653,12
4380,56;5306,53
5308,98;5299,63
3490,33;4263,55
4345,35;3351,22
5000,32;4201,84
5960,69;4063,07
3151,67;3378,89
3768,19;3235,38
4752,63;5499,93
4596,48;4001,15
4485,86;4197,42
4572,96;4617,94
4706,05;5194,75
4797,52;4077,12
4812,20;4541,13
4794,74;3841,63
4874,80;3836,50
4343,08;4425,31
3891,93;2779,81
4986,94;3766,81
5024,54;3795,61
4455,62;4100,65
4721,81;4562,40
3639,89;3523,13
5458,11;6010,42
3226,39;3463,39
5277,10;4098,81
3580,99;3794,32
3822,70;3617,09
4281,88;3327,00
4219,18;3263,52
3709,77;3416,67
2876,23;3434,66
3445,97;2998,99
3237,39;3068,69
3089,09;2600,20
3410,41;3623,01
3198,46;3420,53
2927,56;3907,62
4616,39;3718,95
4254,14;4099,32
3869,48;6013,20
3891,90;5447,70
4907,48;6481,42
4950,74;5532,96
5510,33;5796,36
6350,14;5610,71
5933,72;6154,89
6050,19;5640,06
5701,40;6133,19
5221,61;5409,21
7157,49;5958,08
7119,21;5927,33
6167,86;5237,31
7619,14;6643,43
7808,86;6970,69
6263,42;5392,07
7459,46;5621,51
5323,80;4289,35
4748,17;4900,47
7558,97;6364,88
6271,17;4720,19
5766,08;5094,30
5269,48;4357,41
6275,12;5654,80
7309,69;5183,10
7583,35;5420,05
5564,97;4236,05
5417,19;5010,47
6764,26;4782,12
6136,75;4856,33
6373,91;5708,77
5984,49;4427,19
4999,57;3986,46
3987,70;4246,82
5498,06;3333,93
4641,84;4092,59
6390,37;5824,96
6764,95;4287,15
4380,54;3831,25
4571,27;4333,33
4196,76;4139,09
5491,05;3999,57
4202,94;3887,63
5893,40;4101,77
4558,59;4499,12
4206,00;4113,20
3571,63;3981,89
4219,89;3371,01
4746,58;4394,58
3448,56;4210,12
3630,36;4146,59
4010,11;5193,80
4691,03;4924,46
6273,98;5944,59
5340,45;6243,16
7107,54;6846,49
5853,43;5824,27
6546,11;6784,37
6741,24;6037,45
7047,63;7122,25
8684,58;6529,00
7029,35;6491,24
8401,20;6880,09
8126,70;6376,46
10722,68;6545,74
7870,49;6055,05
8043,99;6325,28
8776,43;6555,36
7377,75;6465,40
7382,83;5233,70
5317,42;4468,17
8148,62;6845,85
7554,08;5604,15
7851,44;5510,20
7715,46;4700,82
6964,83;5673,47
6368,13;4446,41
7272,40;5726,95
6375,75;4428,66
6402,80;5659,70
7982,09;5949,73
7697,70;5437,19
6758,75;4048,28
7587,76;4391,79
7617,39;5428,73
7124,47;4542,11
7198,17;3962,35
6061,50;4427,97
6951,25;6588,84
6337,92;4814,43
8351,53;6176,89
6650,68;4158,67
7737,69;4612,34
6848,78;4348,90
6618,78;4649,36
8706,08;4885,04
6310,79;5316,26
6554,22;5288,53
4618,46;4446,75
4900,14;4032,31
6981,04;4678,64
5541,18;4795,96
7554,94;5724,66
8233,98;5706,65
8290,19;7415,36
9759,65;7173,45
8894,09;7103,00
11326,75;9114,82
12651,84;7363,82
9725,75;7663,15
9568,90;7583,78
10010,94;7215,67
16143,31;7763,80
11098,24;8297,91
11698,23;8960,63
9393,89;8483,35
11254,78;7829,86
13061,91;7080,86
12931,03;7984,00
12228,04;8229,90
10865,63;6769,73
7908,02;5693,58
10309,70;5808,98
11282,77;8232,25
10693,49;6808,08
9862,41;6773,48
11667,97;7300,19
12931,09;8693,48
11295,51;8271,17
11681,31;6813,76
9854,42;6391,48
10334,46;7681,24
10779,69;7576,97
10413,85;6956,40
8723,85;5954,72
12207,72;7566,53
10496,77;5910,71
9027,71;5694,66
8820,70;5573,40
6148,61;5468,47
9045,00;4882,18
7901,40;5861,33
10525,51;6316,00
7302,50;5050,54
6688,64;5497,71
7579,52;5789,94
8858,24;6045,00
9289,24;6518,67
9130,43;5576,71
8157,21;5357,74
6396,65;4966,36
7447,57;5755,99
9450,38;6273,55
8372,39;6881,94
7689,63;5976,71
9174,10;7739,05
9773,69;6686,27
10213,33;8023,14
10812,63;7766,89
12088,67;8331,15
14223,37;10723,10
14871,15;10127,27
14738,25;9190,00
13404,34;8204,18
14784,98;9469,27
15750,91;9576,02
15660,50;10748,81
14796,20;9959,78
17288,62;10872,36
19258,04;11092,35
17255,55;9745,72
20167,97;11841,14
18683,61;10249,77
18483,92;9426,87
13614,60;7667,93
